date,total_cases,total_cases_per_million,total_deaths,total_deaths_per_million,icu_patients,icu_patients_per_million,stringency_index,reproduction_rate,population,population_density,median_age,life_expectancy,gdp_per_capita,extreme_poverty,diabetes_prevalence,hospital_beds_per_thousand,year,month,day,country_South Korea,code_KOR,continent_Asia
2021-06-10,146857.0,2836.0369,1981.0,38.256187,154.0,2.972,50.0,0.9025,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,6,10,True,True,True
2021-06-11,147422.0,2846.9478,1982.0,38.275497,153.0,2.953,50.0,0.8971,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,6,11,True,True,True
2021-06-12,147874.0,2855.6768,1985.0,38.333435,155.0,2.991,50.0,0.8944,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,6,12,True,True,True
2021-06-13,148273.0,2863.382,1988.0,38.39137,146.0,2.818,50.0,0.8969,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,6,13,True,True,True
2021-06-14,148646.0,2870.5852,1992.0,38.468616,153.0,2.953,50.0,0.8875,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,6,14,True,True,True
2021-06-15,149191.0,2881.1099,1993.0,38.487926,158.0,3.049,50.0,0.8846,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,6,15,True,True,True
2021-06-16,149731.0,2891.5383,1994.0,38.507236,159.0,3.069,50.0,0.8969,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,6,16,True,True,True
2021-06-17,150238.0,2901.329,1996.0,38.54586,156.0,3.011,50.0,0.9016,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,6,17,True,True,True
2021-06-18,150720.0,2910.6375,1997.0,38.565174,149.0,2.876,50.0,0.9084,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,6,18,True,True,True
2021-06-19,151149.0,2918.922,2002.0,38.66173,151.0,2.914,50.0,0.935,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,6,19,True,True,True
